Price,Close,High,Low,Open,Volume
Ticker,SUPV.BA,SUPV.BA,SUPV.BA,SUPV.BA,SUPV.BA
Date,,,,,
2025-10-24,2127.0,2200.0,2046.0,2130.0,2809837
2025-10-27,2912.5,2975.0,2450.0,2450.0,8746839
2025-10-28,3170.0,3300.0,2815.0,2900.0,4053367
2025-10-29,3440.0,3500.0,3102.5,3180.0,4314484
2025-10-30,3347.5,3497.5,3200.0,3465.0,2506978
2025-10-31,3770.0,3852.5,3265.0,3265.0,3471828
2025-11-03,3930.0,4265.0,3695.0,3820.0,4713579
2025-11-04,3830.0,3935.0,3620.0,3900.0,3274200
2025-11-05,3807.5,3982.5,3727.5,3850.0,2080329
2025-11-06,3622.5,3920.0,3580.0,3800.0,1043593
2025-11-07,3470.0,3650.0,3347.5,3620.0,3570023
2025-11-10,3450.0,3725.0,3400.0,3470.0,1739501
2025-11-11,3390.0,3515.0,3360.0,3450.0,793087
2025-11-12,3485.0,3520.0,3400.0,3400.0,1766747
2025-11-13,3260.0,3530.0,3160.0,3490.0,2066485
2025-11-14,3467.5,3512.5,3010.0,3270.0,1685561
2025-11-17,3275.0,3440.0,3260.0,3440.0,1129529
2025-11-18,3272.5,3362.5,3100.0,3280.0,1353298
2025-11-19,3135.0,3370.0,3105.0,3275.0,1150655
2025-11-20,3085.0,3262.5,3070.0,3142.5,980364
2025-11-21,2892.5,3080.0,2852.5,3080.0,755711
2025-11-25,3135.0,3250.0,2872.5,2910.0,2019844
2025-11-26,3380.0,3407.5,2950.0,3005.0,3960310
2025-11-27,3415.0,3430.0,3365.0,3392.5,265962
2025-11-28,3402.5,3495.0,3335.0,3415.0,1624090
2025-12-01,3462.5,3480.0,3327.5,3427.5,442592
2025-12-02,3385.0,3492.5,3337.5,3440.0,1719399
2025-12-03,3600.0,3607.5,3345.0,3400.0,737469
2025-12-04,3545.0,3700.0,3532.5,3610.0,1565661
2025-12-05,3397.5,3700.0,3390.0,3590.0,1462615
2025-12-09,3250.0,3440.0,3210.0,3260.0,1674240
2025-12-10,3245.0,3320.0,3135.0,3240.0,1240284
2025-12-11,3277.5,3370.0,3195.0,3240.0,894095
2025-12-12,3335.0,3440.0,3237.5,3282.5,440034
2025-12-15,3447.5,3490.0,3265.0,3335.0,553144
2025-12-16,3480.0,3527.5,3325.0,3465.0,1018435
2025-12-17,3462.5,3500.0,3380.0,3485.0,722151
2025-12-18,3747.5,3760.0,3420.0,3495.0,1615550
2025-12-19,3670.0,3825.0,3585.0,3770.0,1161387
2025-12-22,3712.5,3747.5,3660.0,3672.5,708650
2025-12-23,3720.0,3840.0,3672.5,3682.5,622623
2025-12-24,3700.0,3795.0,3677.5,3677.5,106237
2025-12-26,3685.0,3780.0,3662.5,3730.0,342477
2025-12-29,3670.0,3795.0,3650.0,3710.0,827033
2025-12-30,3570.0,3720.0,3562.5,3670.0,637892
2026-01-02,3595.0,3675.0,3470.0,3660.0,618771
2026-01-05,3677.5,3707.5,3470.0,3590.0,446001
2026-01-06,3705.0,3817.5,3650.0,3650.0,550596
2026-01-07,3560.0,3710.0,3425.0,3690.0,1195675
2026-01-08,3632.5,3640.0,3427.5,3572.5,603136
2026-01-09,3652.5,3715.0,3575.0,3640.0,856079
2026-01-12,3595.0,3680.0,3570.0,3640.0,412584
2026-01-13,3450.0,3615.0,3405.0,3595.0,1095956
2026-01-14,3307.5,3530.0,3260.0,3477.5,939373
2026-01-15,3250.0,3360.0,3157.5,3352.5,817701
2026-01-16,3240.0,3300.0,3200.0,3257.5,462833
2026-01-19,3217.5,3275.0,3192.5,3240.0,167086
2026-01-20,3225.0,3295.0,3077.5,3200.0,601708
2026-01-21,3400.0,3407.5,3172.5,3225.0,1489320
2026-01-22,3407.5,3500.0,3370.0,3400.0,1092813
2026-01-23,3487.5,3527.5,3380.0,3415.0,1258792
2026-01-26,3522.5,3675.0,3400.0,3470.0,1103461
2026-01-27,3710.0,3712.5,3525.0,3525.0,1910795
2026-01-28,3725.0,3790.0,3605.0,3710.0,2117769
2026-01-29,3717.5,3752.5,3550.0,3725.0,1028586
2026-01-30,3680.0,3810.0,3650.0,3730.0,904144
2026-02-02,3490.0,3725.0,3472.5,3725.0,847746
2026-02-03,3377.5,3545.0,3300.0,3540.0,692629
2026-02-04,3317.5,3475.0,3200.0,3390.0,993975
2026-02-05,3147.5,3337.5,3100.0,3217.5,1087033
2026-02-06,3272.5,3292.5,3145.0,3145.0,649620
2026-02-09,3435.0,3450.0,3187.5,3330.0,804523
2026-02-10,3570.0,3587.5,3310.0,3445.0,849200
2026-02-11,3460.0,3570.0,3410.0,3570.0,562445
2026-02-12,3185.0,3530.0,3170.0,3457.5,1379366
